timestamp_s,motor_1_pos,motor_2_pos,motor_3_pos,motor_4_pos,motor_1_vel,motor_2_vel,motor_3_vel,motor_4_vel,optitrack_x,optitrack_y,optitrack_z,optitrack_qx,optitrack_qy,optitrack_qz,optitrack_qw
-1.0,0,0,0,0,,,,,0.103170,-0.141205,0.215706,,,,
0.0002,0,0,0,0,0,0,0,0,0.103413,-0.144246,0.215720,-0.023387,-0.981203,0.185800,-0.046613
0.0408,-3,0,-2,0,-2,0,-1,0,0.103316,-0.144238,0.215812,-0.023197,-0.980578,0.188534,-0.048831
0.0767,-10,0,-10,0,-10,0,-11,0,0.103510,-0.144288,0.215572,-0.023288,-0.981822,0.182775,-0.045564
0.1147,-20,0,-20,0,-15,0,-17,0,0.103554,-0.143840,0.216080,-0.021817,-0.977291,0.205977,-0.044720
0.1507,-31,0,-31,0,-18,0,-18,0,0.103598,-0.143594,0.215613,-0.022425,-0.979360,0.194038,-0.051958
0.1867,-43,0,-42,0,-20,0,-19,0,0.103614,-0.143024,0.215869,-0.019250,-0.974201,0.218220,-0.054239
0.2227,-53,0,-53,0,-20,0,-20,0,0.103538,-0.142769,0.215813,-0.017895,-0.976806,0.208538,-0.045190
0.2587,-65,0,-65,0,-20,0,-19,0,0.103505,-0.142227,0.215836,-0.021894,-0.976800,0.210240,-0.034378
0.2947,-76,0,-77,0,-19,0,-20,0,0.103615,-0.141771,0.215809,-0.020291,-0.976250,0.208780,-0.054173
0.3307,-87,0,-87,0,-19,0,-19,0,0.103585,-0.141447,0.215841,-0.019146,-0.977381,0.201920,-0.059899
0.3668,-99,0,-99,0,-20,0,-20,0,0.103557,-0.141132,0.215114,-0.021988,-0.979633,0.191206,-0.057240
0.4027,-110,0,-110,0,-20,0,-19,0,0.103739,-0.140640,0.215127,-0.026184,-0.976791,0.208120,-0.043364
0.4407,-121,0,-122,0,-19,0,-19,0,0.103637,-0.140099,0.215644,-0.024731,-0.970170,0.235713,-0.050969
0.4767,-132,0,-133,0,-19,0,-20,0,0.103957,-0.140096,0.214800,-0.022946,-0.975001,0.218054,-0.036039
0.5128,-144,0,-144,0,-20,0,-18,0,0.103788,-0.139462,0.215280,-0.019916,-0.976208,0.211201,-0.044901
0.5488,-157,0,-155,0,-20,0,-20,0,0.103686,-0.138849,0.215615,-0.018745,-0.975007,0.218628,-0.034806
0.5848,-167,0,-167,0,-20,0,-20,0,0.103603,-0.138502,0.215328,-0.018869,-0.974543,0.220092,-0.038324
0.6208,-178,0,-179,0,-19,0,-20,0,0.103814,-0.138010,0.215178,-0.020084,-0.968693,0.244045,-0.040904
0.6567,-190,0,-189,0,-20,0,-19,0,0.103792,-0.137275,0.215522,-0.017305,-0.967055,0.248549,-0.052225
0.6929,-201,0,-201,0,-19,0,-20,0,0.103698,-0.136830,0.215747,-0.020580,-0.968726,0.235735,-0.074671
0.7308,-213,0,-213,0,-20,0,-19,0,0.103806,-0.136377,0.215618,-0.020827,-0.970317,0.228829,-0.075424
