timestamp_s,motor_1_pos,motor_2_pos,motor_3_pos,motor_4_pos,motor_1_vel,motor_2_vel,motor_3_vel,motor_4_vel,optitrack_x,optitrack_y,optitrack_z,optitrack_qx,optitrack_qy,optitrack_qz,optitrack_qw
-1.0,0,0,0,0,,,,,0.106631,-0.146613,0.215939,,,,
0.0001,0,-5,0,-1,0,0,0,0,0.106100,-0.146635,0.215929,-0.107047,0.038072,-0.018369,-0.993355
0.0357,0,-5,0,-1,0,0,0,0,0.106075,-0.146599,0.215945,-0.106103,0.041564,-0.019731,-0.993290
0.0717,0,-7,0,-5,0,-3,0,-2,0.106007,-0.146666,0.215836,-0.103226,0.044686,-0.021161,-0.993428
0.1077,0,-14,0,-15,0,-9,0,-14,0.106202,-0.146694,0.216042,-0.104842,0.045352,-0.019739,-0.993258
0.1437,0,-25,0,-26,0,-17,0,-18,0.106795,-0.146747,0.216113,-0.099902,0.038402,-0.017524,-0.994102
0.1797,1,-36,0,-37,0,-17,0,-20,0.107169,-0.146654,0.216177,-0.099728,0.035040,-0.019323,-0.994210
0.2157,1,-48,0,-49,0,-20,0,-19,0.107621,-0.146656,0.216292,-0.097041,0.041569,-0.020958,-0.994191
0.2519,0,-60,0,-60,0,-20,0,-20,0.108129,-0.146526,0.216310,-0.093703,0.049535,-0.020278,-0.994160
0.2879,1,-72,0,-73,0,-19,0,-20,0.108745,-0.146639,0.216196,-0.094738,0.047411,-0.021659,-0.994137
0.3239,1,-83,0,-84,0,-19,0,-20,0.108932,-0.146810,0.215634,-0.107718,0.022697,-0.012427,-0.993845
0.3598,0,-94,0,-94,0,-18,0,-19,0.109384,-0.146654,0.215586,-0.113582,0.023897,-0.014349,-0.993138
0.3958,0,-105,0,-106,0,-19,0,-19,0.110017,-0.146570,0.216156,-0.101005,0.039554,-0.017714,-0.993941
0.4318,0,-117,0,-118,0,-19,0,-20,0.110588,-0.146562,0.215664,-0.108312,0.017168,-0.013618,-0.993875
0.4678,1,-128,0,-130,0,-18,0,-20,0.110947,-0.146692,0.216109,-0.104080,0.041986,-0.021874,-0.993442
0.5037,0,-139,0,-141,0,-18,0,-20,0.111181,-0.146728,0.216299,-0.096604,0.047354,-0.017789,-0.994037
0.5397,0,-151,0,-153,0,-18,0,-19,0.111751,-0.146796,0.216277,-0.092239,0.047654,-0.017144,-0.994448
0.5757,0,-162,0,-164,0,-18,0,-19,0.112353,-0.146630,0.216342,-0.102645,0.036672,-0.017942,-0.993880
