timestamp_s,motor_1_pos,motor_2_pos,motor_3_pos,motor_4_pos,motor_1_vel,motor_2_vel,motor_3_vel,motor_4_vel,optitrack_x,optitrack_y,optitrack_z,optitrack_qx,optitrack_qy,optitrack_qz,optitrack_qw
-1.0,0,0,0,0,,,,,0.103415,-0.147864,0.215625,,,,
0.0004,0,0,2,0,0,0,0,0,0.103479,-0.147525,0.215821,-0.087813,0.048566,-0.020228,-0.994747
0.0426,2,0,5,0,1,0,2,0,0.103466,-0.147667,0.215648,-0.096571,0.039478,-0.016422,-0.994407
0.0814,10,0,12,0,10,0,10,0,0.103434,-0.147697,0.215813,-0.095839,0.044543,-0.018362,-0.994230
0.1174,21,0,22,0,16,0,16,0,0.103340,-0.147844,0.215897,-0.101560,0.052423,-0.018861,-0.993268
0.1544,32,0,32,0,18,0,18,0,0.103347,-0.148263,0.216170,-0.103596,0.044716,-0.015912,-0.993486
0.1903,42,0,43,0,19,0,18,0,0.103388,-0.148661,0.216014,-0.101926,0.040412,-0.017353,-0.993819
0.2263,54,0,53,0,19,0,18,0,0.103524,-0.148944,0.215946,-0.089063,0.036552,-0.020133,-0.995152
0.2624,66,0,64,0,21,0,19,0,0.103770,-0.149333,0.216224,-0.076518,0.046904,-0.020747,-0.995748
0.2984,77,0,76,0,20,0,20,0,0.103591,-0.149856,0.215991,-0.094898,0.045388,-0.019584,-0.994259
0.3345,88,0,88,0,19,0,20,0,0.103395,-0.150291,0.216528,-0.092894,0.069606,-0.019243,-0.993054
0.3713,100,0,97,0,19,0,20,0,0.103345,-0.150725,0.216399,-0.088453,0.054627,-0.018927,-0.994401
0.4077,112,0,108,0,19,0,18,0,0.103534,-0.151113,0.216051,-0.096553,0.037584,-0.016354,-0.994484
0.4446,123,0,120,0,19,0,20,0,0.103622,-0.151492,0.216155,-0.101950,0.047331,-0.017103,-0.993516
0.4814,135,0,131,0,20,0,20,0,0.103794,-0.151983,0.215996,-0.109491,0.049079,-0.017767,-0.992616
0.5174,147,0,143,0,20,0,20,0,0.103795,-0.152282,0.216066,-0.102480,0.047766,-0.015941,-0.993460
0.5532,158,0,154,0,19,0,20,0,0.103977,-0.152649,0.215857,-0.084747,0.041414,-0.020700,-0.995326
0.5895,169,0,164,0,19,0,19,0,0.104003,-0.153448,0.215885,-0.110589,0.042033,-0.014838,-0.992866
0.6264,180,0,176,0,20,0,19,0,0.103890,-0.153935,0.215899,-0.124795,0.035903,-0.011571,-0.991465
0.6646,193,0,186,0,20,0,20,0,0.103852,-0.153983,0.216115,-0.115708,0.034786,-0.014437,-0.992569
0.7013,205,0,198,0,20,0,21,0,0.104064,-0.154608,0.216130,-0.118925,0.053568,-0.020357,-0.991248
