timestamp_s,motor_1_pos,motor_2_pos,motor_3_pos,motor_4_pos,motor_1_vel,motor_2_vel,motor_3_vel,motor_4_vel,optitrack_x,optitrack_y,optitrack_z,optitrack_qx,optitrack_qy,optitrack_qz,optitrack_qw
-1.0,0,0,0,0,,,,,0.092013,-0.143754,0.212762,,,,
0.0012,0,-4,-5,0,0,0,0,0,0.091089,-0.144574,0.212508,-0.099465,0.041960,-0.019145,-0.993972
0.0459,-3,-5,-6,-4,-2,0,0,-3,0.091065,-0.144520,0.212668,-0.094029,0.046234,-0.020440,-0.994285
0.0821,-11,-11,-12,-11,-11,-9,-8,-9,0.091129,-0.144543,0.212788,-0.090634,0.056684,-0.023319,-0.993996
0.1180,-21,-21,-22,-21,-15,-15,-15,-16,0.091506,-0.144293,0.212623,-0.100498,0.052811,-0.025532,-0.993207
0.1552,-31,-33,-33,-33,-18,-19,-18,-18,0.092033,-0.143682,0.212870,-0.088490,0.059150,-0.019420,-0.994130
0.1929,-44,-45,-44,-44,-20,-19,-19,-19,0.092547,-0.143508,0.213040,-0.094030,0.088189,-0.032889,-0.991110
0.2293,-55,-57,-54,-56,-20,-19,-19,-20,0.092870,-0.143017,0.212909,-0.088122,0.068867,-0.027479,-0.993346
0.2661,-66,-68,-66,-68,-19,-19,-20,-20,0.093055,-0.142351,0.212828,-0.071922,0.058921,-0.025942,-0.995330
0.3029,-78,-78,-77,-80,-18,-19,-20,-20,0.093534,-0.142168,0.212255,-0.081971,0.032115,-0.015706,-0.995993
0.3388,-88,-90,-88,-90,-20,-18,-19,-19,0.093967,-0.141676,0.212538,-0.065071,0.040419,-0.021835,-0.996823
0.3752,-100,-101,-99,-102,-20,-18,-19,-19,0.094167,-0.141203,0.212699,-0.069171,0.055813,-0.024140,-0.995750
0.4118,-111,-113,-110,-114,-20,-19,-19,-20,0.094668,-0.140669,0.212726,-0.067606,0.060557,-0.023372,-0.995598
0.4478,-121,-124,-120,-125,-20,-19,-19,-20,0.095113,-0.140379,0.212418,-0.069209,0.061441,-0.027429,-0.995331
0.4840,-131,-136,-131,-136,-17,-19,-19,-19,0.095573,-0.139914,0.212617,-0.071425,0.057562,-0.024019,-0.995494
0.5210,-143,-147,-142,-147,-19,-18,-20,-19,0.095981,-0.139479,0.212167,-0.082211,0.037255,-0.018573,-0.995745
0.5579,-155,-158,-153,-159,-20,-19,-19,-20,0.096469,-0.138994,0.212292,-0.081517,0.041465,-0.016722,-0.995669
0.5940,-166,-170,-163,-170,-19,-18,-19,-20,0.096728,-0.138384,0.212366,-0.065093,0.038051,-0.024881,-0.996843
0.6308,-176,-181,-175,-182,-19,-18,-20,-20,0.097086,-0.137842,0.212355,-0.061126,0.048026,-0.027063,-0.996607
0.6678,-187,-192,-186,-193,-18,-19,-20,-19,0.097655,-0.137359,0.212258,-0.069170,0.048038,-0.023702,-0.996166
0.7040,-200,-204,-197,-205,-21,-19,-20,-20,0.098150,-0.136795,0.212426,-0.040727,0.043919,-0.026657,-0.997849
0.7408,-212,-215,-207,-218,-20,-18,-18,-20,0.098502,-0.136538,0.211826,-0.067647,0.036188,-0.024880,-0.996742
0.7771,-222,-226,-219,-229,-19,-18,-19,-20,0.098944,-0.136175,0.211945,-0.061202,0.037304,-0.025266,-0.997108
0.8142,-232,-238,-230,-241,-18,-18,-20,-21,0.099548,-0.135596,0.212078,-0.036357,0.031872,-0.021731,-0.998594
0.8508,-243,-249,-241,-252,-18,-19,-20,-19,0.099909,-0.135170,0.211627,-0.040583,0.020752,-0.019985,-0.998761
0.8872,-255,-262,-253,-263,-21,-18,-20,-19,0.100114,-0.134540,0.211623,-0.037651,0.022596,-0.022843,-0.998774
0.9240,-267,-273,-263,-273,-21,-19,-19,-19,0.100666,-0.133910,0.212437,-0.056055,0.063115,-0.034027,-0.995850
0.9600,-278,-284,-274,-285,-19,-19,-19,-19,0.101192,-0.133757,0.211444,-0.065717,0.027403,-0.023753,-0.997179
0.9969,-288,-296,-286,-297,-18,-19,-20,-20,0.101840,-0.133170,0.211667,-0.043659,0.032293,-0.023203,-0.998255
1.0351,-299,-308,-297,-308,-19,-18,-20,-19,0.102156,-0.132626,0.211241,-0.031873,0.014129,-0.020172,-0.999188
1.0719,-311,-319,-308,-319,-20,-18,-19,-20,0.102301,-0.132102,0.211934,-0.026814,0.035561,-0.029831,-0.998562
1.1079,-322,-330,-318,-331,-20,-18,-18,-20,0.102823,-0.131612,0.211957,-0.025622,0.034795,-0.027677,-0.998682
1.1440,-334,-341,-329,-343,-20,-18,-20,-20,0.103422,-0.131152,0.211422,-0.025385,0.020668,-0.023881,-0.999179
1.1811,-345,-353,-342,-353,-19,-19,-20,-19,0.103951,-0.130893,0.210999,-0.013279,0.013411,-0.014290,-0.999720
1.2179,-357,-364,-354,-365,-20,-18,-21,-19,0.104247,-0.130648,0.210814,-0.015270,0.007011,-0.013996,-0.999761
1.2540,-368,-374,-363,-376,-20,-18,-19,-20,0.104658,-0.129761,0.211294,-0.027929,0.023952,-0.024892,-0.999013
1.2899,-379,-385,-374,-388,-20,-19,-18,-20,0.105058,-0.129280,0.211616,-0.014785,0.029293,-0.027769,-0.999076
1.3258,-390,-397,-385,-399,-19,-19,-19,-20,0.105517,-0.128989,0.211069,-0.014379,0.008091,-0.018241,-0.999698
1.3630,-401,-410,-396,-411,-18,-19,-20,-19,0.106265,-0.128418,0.210743,-0.017846,0.016392,-0.026206,-0.999363
1.3998,-413,-420,-408,-423,-20,-18,-20,-19,0.106589,-0.127940,0.211021,-0.026456,0.029823,-0.023420,-0.998931
1.4362,-424,-432,-419,-434,-20,-19,-18,-19,0.106916,-0.127512,0.211039,-0.021595,0.018975,-0.024363,-0.999290
1.4729,-435,-443,-430,-445,-20,-19,-19,-20,0.107441,-0.127132,0.210851,-0.010690,0.013367,-0.026732,-0.999496
1.5090,-446,-454,-441,-457,-19,-18,-20,-19,0.107871,-0.126734,0.210935,-0.010189,0.021243,-0.029450,-0.999289
1.5460,-457,-465,-453,-470,-19,-18,-20,-19,0.108445,-0.126368,0.210245,-0.010000,-0.003449,-0.015186,-0.999829
1.5828,-468,-477,-464,-481,-18,-19,-20,-19,0.108956,-0.125718,0.210486,-0.014469,0.021887,-0.027255,-0.999284
1.6190,-480,-488,-475,-492,-20,-18,-18,-19,0.109389,-0.125333,0.210348,-0.004915,0.014933,-0.026156,-0.999534
1.6560,-492,-500,-487,-504,-20,-18,-20,-20,0.109744,-0.124946,0.210079,-0.002970,0.000859,-0.022244,-0.999748
1.6929,-504,-511,-499,-516,-19,-18,-20,-20,0.110021,-0.124395,0.210066,0.011107,0.020622,-0.028369,-0.999323
1.7291,-515,-522,-511,-527,-20,-18,-20,-19,0.110462,-0.124038,0.209712,-0.001143,0.006943,-0.025361,-0.999654
1.7663,-526,-534,-522,-539,-19,-18,-19,-19,0.110888,-0.123633,0.209518,0.006138,0.009009,-0.030442,-0.999477
1.8033,-538,-545,-533,-551,-20,-19,-18,-20,0.111536,-0.123119,0.209375,-0.000470,0.003825,-0.027798,-0.999606
1.8400,-550,-557,-545,-562,-20,-19,-20,-19,0.112047,-0.122593,0.209570,0.023927,0.021003,-0.033605,-0.998928
1.8768,-562,-569,-557,-574,-20,-18,-20,-19,0.112201,-0.122288,0.209213,0.013905,0.010171,-0.031997,-0.999339
1.9139,-573,-579,-567,-586,-19,-18,-20,-19,0.112771,-0.121986,0.208775,0.003246,-0.016840,-0.021148,-0.999629
1.9510,-584,-591,-579,-598,-19,-18,-19,-20,0.113388,-0.121463,0.209032,0.002446,-0.007211,-0.019000,-0.999791
1.9881,-596,-603,-590,-611,-19,-19,-19,-19,0.113844,-0.120919,0.208606,0.015944,0.005121,-0.028851,-0.999443
2.0252,-607,-615,-602,-622,-18,-19,-19,-19,0.114116,-0.120584,0.208634,0.026835,0.003500,-0.030730,-0.999161
2.0618,-618,-626,-613,-633,-20,-16,-19,-19,0.114515,-0.120112,0.208306,0.007420,-0.008969,-0.028122,-0.999537
2.0980,-631,-637,-625,-645,-20,-17,-20,-20,0.114778,-0.119723,0.208068,0.014501,-0.018407,-0.021584,-0.999492
2.1350,-642,-649,-636,-658,-20,-19,-19,-20,0.115258,-0.119316,0.207715,0.018636,-0.025310,-0.021190,-0.999281
2.1720,-653,-660,-648,-669,-19,-18,-19,-19,0.115974,-0.118784,0.207688,0.022259,-0.007917,-0.028462,-0.999316
2.2090,-665,-672,-659,-680,-19,-18,-19,-19,0.116296,-0.118220,0.207682,0.022160,-0.006003,-0.031800,-0.999231
2.2459,-677,-683,-671,-691,-20,-19,-20,-18,0.116574,-0.117896,0.207303,0.008735,-0.022050,-0.020295,-0.999513
2.2828,-688,-694,-682,-704,-20,-18,-20,-20,0.116846,-0.117496,0.206891,0.018467,-0.025193,-0.021768,-0.999275
2.3193,-700,-706,-693,-715,-20,-19,-19,-19,0.117328,-0.117007,0.206683,0.041308,-0.037008,-0.021906,-0.998221
2.3557,-711,-718,-705,-727,-19,-19,-19,-19,0.117756,-0.116598,0.206648,0.064991,-0.052897,-0.022196,-0.996236
2.3917,-722,-729,-716,-739,-19,-18,-20,-20,0.118156,-0.116162,0.206543,0.049463,-0.037479,-0.023745,-0.997790
2.4278,-733,-740,-728,-751,-19,-19,-20,-20,0.118339,-0.115679,0.206465,0.030054,-0.037775,-0.019567,-0.998643
2.4639,-744,-752,-739,-763,-19,-18,-19,-19,0.118752,-0.115447,0.206210,0.032354,-0.044671,-0.017386,-0.998326
2.5007,-756,-763,-750,-774,-20,-19,-20,-18,0.119360,-0.115199,0.205947,0.031654,-0.042580,-0.019399,-0.998403
2.5367,-767,-775,-762,-786,-19,-19,-20,-19,0.119800,-0.114682,0.205903,0.055246,-0.041810,-0.021610,-0.997363
2.5727,-778,-785,-773,-797,-20,-17,-19,-20,0.120074,-0.114276,0.205898,0.052638,-0.034860,-0.024777,-0.997697
2.6088,-790,-796,-785,-809,-20,-19,-20,-20,0.120317,-0.113813,0.205344,0.046524,-0.042217,-0.022639,-0.997768
2.6448,-802,-808,-795,-820,-20,-19,-19,-19,0.120745,-0.113498,0.205321,0.050247,-0.047176,-0.021451,-0.997391
2.6809,-814,-820,-807,-831,-19,-19,-19,-18,0.121047,-0.113202,0.205112,0.051469,-0.053768,-0.019878,-0.997028
2.7177,-825,-831,-818,-842,-19,-19,-19,-19,0.121454,-0.112732,0.205113,0.053141,-0.054588,-0.022677,-0.996836
