timestamp_s,motor_1_pos,motor_2_pos,motor_3_pos,motor_4_pos,motor_1_vel,motor_2_vel,motor_3_vel,motor_4_vel,optitrack_x,optitrack_y,optitrack_z,optitrack_qx,optitrack_qy,optitrack_qz,optitrack_qw
-1.0,0,0,0,0,,,,,0.090225,-0.147295,0.212898,,,,
0.0007,804,-801,799,-804,2,0,4,0,0.121454,-0.173345,0.208569,-0.204116,-0.052813,0.000733,-0.977521
0.0450,802,-799,798,-802,0,1,0,0,0.121469,-0.173374,0.208622,-0.210220,-0.056479,0.001448,-0.976020
0.0818,794,-794,791,-792,-10,7,-7,12,0.121439,-0.173285,0.208681,-0.203041,-0.047408,-0.001581,-0.978021
0.1178,784,-785,781,-781,-16,15,-14,17,0.121273,-0.173163,0.208662,-0.192598,-0.037511,-0.004129,-0.980552
0.1539,774,-774,770,-771,-17,17,-17,19,0.120947,-0.172860,0.208714,-0.194727,-0.044619,-0.001926,-0.979840
0.1898,762,-762,760,-758,-20,19,-19,19,0.120764,-0.172589,0.208898,-0.194967,-0.043105,-0.005822,-0.979845
0.2259,750,-750,748,-746,-20,19,-19,20,0.120557,-0.172491,0.208862,-0.194072,-0.046481,-0.004411,-0.979876
0.2628,739,-737,736,-732,-20,19,-19,20,0.120255,-0.172311,0.209063,-0.202029,-0.042269,-0.006793,-0.978443
0.3028,725,-726,725,-721,-19,18,-20,20,0.119930,-0.172042,0.209036,-0.205868,-0.044922,-0.004997,-0.977535
0.3388,714,-715,713,-709,-19,19,-20,19,0.119786,-0.171904,0.209191,-0.206028,-0.041628,-0.005335,-0.977646
0.3749,702,-703,701,-696,-20,19,-20,20,0.119494,-0.171835,0.209535,-0.200896,-0.022730,-0.004424,-0.979339
0.4119,691,-692,690,-685,-19,18,-19,19,0.119113,-0.171620,0.209699,-0.204321,-0.025422,-0.002778,-0.978570
0.4478,679,-681,679,-674,-20,18,-20,19,0.118739,-0.171209,0.209759,-0.201386,-0.033467,-0.001306,-0.978939
0.4839,669,-670,668,-663,-19,19,-19,20,0.118206,-0.170964,0.209746,-0.199000,-0.027137,-0.002872,-0.979619
