timestamp_s,motor_1_pos,motor_2_pos,motor_3_pos,motor_4_pos,motor_1_vel,motor_2_vel,motor_3_vel,motor_4_vel,optitrack_x,optitrack_y,optitrack_z,optitrack_qx,optitrack_qy,optitrack_qz,optitrack_qw
-1.0,0,0,0,0,,,,,0.092538,-0.151595,0.212863,,,,
0.0004,0,-4,0,0,0,0,0,0,0.091712,-0.150344,0.212315,-0.101972,0.045681,-0.019343,-0.993550
0.0459,3,-5,4,-4,2,0,3,-4,0.091677,-0.150190,0.212250,-0.103798,0.047294,-0.023135,-0.993204
0.0822,11,-11,12,-13,11,-11,12,-11,0.091735,-0.150459,0.212288,-0.106772,0.045282,-0.018609,-0.993078
0.1204,22,-22,22,-21,16,-15,17,-15,0.092047,-0.151086,0.212710,-0.111343,0.061471,-0.017305,-0.991728
0.1570,31,-33,33,-32,18,-19,18,-18,0.092379,-0.151295,0.212932,-0.097343,0.064896,-0.020412,-0.992923
0.1934,43,-45,43,-44,19,-19,19,-19,0.092539,-0.151637,0.212665,-0.109279,0.055870,-0.021618,-0.992204
0.2299,55,-56,55,-56,20,-19,20,-20,0.093302,-0.151560,0.212913,-0.094609,0.057742,-0.029930,-0.993388
0.2671,66,-68,66,-68,19,-20,19,-20,0.094239,-0.151776,0.212693,-0.115662,0.049261,-0.023797,-0.991781
0.3040,78,-78,77,-80,20,-18,20,-21,0.094766,-0.152242,0.212731,-0.109467,0.048644,-0.018850,-0.992620
0.3400,89,-90,88,-92,19,-19,20,-19,0.094885,-0.152835,0.212668,-0.106318,0.054443,-0.020537,-0.992628
0.3782,100,-102,99,-103,20,-18,20,-19,0.095620,-0.152955,0.213172,-0.101432,0.058164,-0.020434,-0.992931
0.4148,111,-113,109,-114,19,-18,19,-20,0.096020,-0.153242,0.213161,-0.119905,0.055251,-0.022109,-0.991000
0.4509,122,-125,121,-126,19,-19,19,-20,0.096465,-0.153697,0.213060,-0.115602,0.048393,-0.022371,-0.991864
0.4869,134,-137,132,-137,20,-19,20,-19,0.096898,-0.154055,0.213143,-0.108616,0.052448,-0.025002,-0.992384
0.5238,146,-147,143,-148,19,-18,21,-18,0.097351,-0.154423,0.213237,-0.108065,0.050422,-0.021979,-0.992621
0.5618,157,-160,154,-160,19,-19,19,-20,0.097796,-0.154744,0.213372,-0.110948,0.048947,-0.021646,-0.992384
0.5990,169,-171,164,-172,19,-19,19,-20,0.098354,-0.155361,0.213004,-0.126362,0.044524,-0.021030,-0.990761
0.6361,181,-183,176,-184,20,-18,19,-20,0.098828,-0.155629,0.213028,-0.119318,0.047777,-0.020389,-0.991496
0.6732,192,-194,187,-195,20,-18,19,-19,0.099191,-0.156092,0.212727,-0.126699,0.052920,-0.021730,-0.990290
0.7098,203,-206,198,-207,18,-19,20,-20,0.099844,-0.156629,0.213025,-0.119377,0.046295,-0.021579,-0.991534
0.7490,215,-218,209,-220,20,-19,20,-20,0.100463,-0.156974,0.212989,-0.127215,0.040288,-0.021839,-0.990816
0.7859,228,-228,221,-232,20,-18,19,-20,0.100923,-0.157319,0.213166,-0.127259,0.046554,-0.020869,-0.990557
0.8231,240,-241,231,-244,20,-19,20,-20,0.101362,-0.157788,0.212949,-0.128140,0.045399,-0.020907,-0.990496
0.8602,251,-253,243,-255,19,-19,20,-19,0.101965,-0.158169,0.213117,-0.121210,0.043950,-0.018037,-0.991489
0.8971,263,-265,254,-267,19,-19,20,-18,0.102642,-0.158541,0.213216,-0.117939,0.059863,-0.024736,-0.990906
0.9349,275,-277,265,-277,19,-18,19,-19,0.103058,-0.158956,0.212737,-0.130388,0.043655,-0.021245,-0.990274
0.9718,286,-288,276,-289,19,-19,19,-20,0.103578,-0.159411,0.212702,-0.130057,0.038358,-0.021634,-0.990528
1.0095,298,-300,288,-300,20,-19,20,-19,0.103892,-0.159889,0.212776,-0.120809,0.037619,-0.020166,-0.991758
1.0460,310,-312,299,-312,20,-18,19,-19,0.104522,-0.160468,0.212609,-0.124382,0.055580,-0.025358,-0.990352
1.0842,321,-323,311,-323,19,-18,19,-19,0.105072,-0.160931,0.212401,-0.126288,0.042191,-0.020473,-0.990885
1.1221,333,-334,322,-335,19,-19,19,-20,0.105674,-0.161215,0.212867,-0.128736,0.048718,-0.022401,-0.990228
1.1589,345,-346,333,-347,20,-19,19,-20,0.106104,-0.161615,0.212509,-0.135077,0.025412,-0.019071,-0.990326
1.1961,356,-357,344,-359,19,-18,19,-19,0.106458,-0.161993,0.212398,-0.134527,0.023822,-0.017492,-0.990469
1.2328,369,-368,355,-369,20,-18,20,-19,0.107053,-0.162625,0.212224,-0.141378,0.022062,-0.018430,-0.989538
1.2691,379,-379,367,-381,19,-18,19,-20,0.107418,-0.162928,0.212280,-0.147206,0.033423,-0.017252,-0.988390
1.3060,391,-391,378,-393,19,-19,19,-20,0.107948,-0.163258,0.212499,-0.145230,0.027568,-0.018459,-0.988841
1.3428,402,-403,389,-405,20,-19,19,-19,0.108558,-0.163776,0.211888,-0.153423,0.006282,-0.014317,-0.988037
1.3799,415,-414,400,-416,19,-18,19,-19,0.108911,-0.164272,0.211840,-0.146490,0.006927,-0.010839,-0.989129
