timestamp_s,motor_1_pos,motor_2_pos,motor_3_pos,motor_4_pos,motor_1_vel,motor_2_vel,motor_3_vel,motor_4_vel,optitrack_x,optitrack_y,optitrack_z,optitrack_qx,optitrack_qy,optitrack_qz,optitrack_qw
-1.0,0,0,0,0,,,,,0.084126,-0.151798,0.212579,,,,
0.0003,0,4,0,0,0,0,0,0,0.084619,-0.151046,0.213047,-0.089256,0.092970,-0.028070,-0.991263
0.0458,3,5,4,4,1,0,3,3,0.084639,-0.151062,0.212990,-0.088023,0.089970,-0.026681,-0.991688
0.0826,11,11,12,12,11,9,12,11,0.084612,-0.151135,0.213062,-0.088921,0.091268,-0.026016,-0.991507
0.1197,21,20,22,21,16,15,17,15,0.084560,-0.151484,0.212776,-0.091981,0.079312,-0.021800,-0.992358
0.1558,31,32,32,32,19,19,19,18,0.084019,-0.151874,0.212629,-0.079153,0.079006,-0.021125,-0.993502
0.1928,43,44,43,45,19,19,19,20,0.083555,-0.152242,0.213016,-0.081802,0.092712,-0.027562,-0.991944
0.2297,54,55,55,56,20,18,20,20,0.083224,-0.152589,0.212859,-0.105489,0.089513,-0.027974,-0.989988
0.2668,66,68,66,68,20,19,19,20,0.082869,-0.153030,0.212621,-0.100095,0.087018,-0.024889,-0.990853
0.3036,78,79,77,79,20,19,20,19,0.082447,-0.153441,0.212145,-0.118234,0.054977,-0.014550,-0.991356
0.3396,89,91,87,90,20,19,19,19,0.081890,-0.153807,0.212067,-0.109083,0.041012,-0.006332,-0.993166
0.3758,100,102,98,102,19,19,20,20,0.081669,-0.154288,0.212358,-0.111062,0.074835,-0.019773,-0.990795
0.4128,111,113,109,113,19,18,20,20,0.081133,-0.154568,0.212292,-0.124954,0.077682,-0.021700,-0.988879
0.4496,122,124,120,124,20,18,19,19,0.080694,-0.154968,0.211634,-0.143768,0.049182,-0.017255,-0.988238
0.4856,134,137,131,134,20,19,20,17,0.080507,-0.155538,0.212731,-0.099334,0.102957,-0.025947,-0.989373
0.5226,145,147,142,146,19,18,21,19,0.080109,-0.155939,0.212114,-0.100994,0.066102,-0.014420,-0.992584
0.5598,156,159,153,158,19,18,19,20,0.079419,-0.156298,0.212571,-0.110925,0.094706,-0.025937,-0.988966
0.5967,169,171,163,169,20,18,18,19,0.078862,-0.156745,0.212420,-0.124978,0.092992,-0.025872,-0.987453
0.6336,181,182,175,178,20,18,19,18,0.078679,-0.157190,0.212996,-0.110576,0.136362,-0.032471,-0.983933
0.6707,192,194,185,190,19,19,19,19,0.078282,-0.157604,0.212099,-0.123836,0.089875,-0.019804,-0.988026
0.7077,202,206,197,203,18,17,20,21,0.077590,-0.158362,0.211863,-0.157497,0.063959,-0.015323,-0.985327
0.7468,215,218,209,215,20,19,20,20,0.077440,-0.158850,0.211633,-0.146033,0.084950,-0.020519,-0.985412
0.7849,228,229,220,226,20,18,19,20,0.076929,-0.159242,0.211959,-0.159527,0.090953,-0.019118,-0.982809
0.8218,240,241,231,237,20,19,19,18,0.076547,-0.159609,0.211466,-0.146255,0.078435,-0.020193,-0.985926
0.8591,251,253,243,248,19,19,20,20,0.076153,-0.160231,0.211299,-0.127845,0.058808,-0.009102,-0.990007
0.8956,262,264,254,260,19,19,19,21,0.075672,-0.160672,0.211398,-0.143188,0.080752,-0.017392,-0.986242
0.9316,273,275,264,272,19,19,20,21,0.075241,-0.161188,0.211351,-0.151156,0.093098,-0.018805,-0.983936
0.9677,284,287,275,282,19,19,19,18,0.074581,-0.161641,0.211533,-0.170796,0.093904,-0.016946,-0.980675
1.0046,296,298,286,292,20,19,19,17,0.074300,-0.161919,0.211389,-0.162104,0.089092,-0.015674,-0.982619
1.0408,308,310,297,304,19,18,19,20,0.074004,-0.162547,0.211190,-0.154910,0.099530,-0.019533,-0.982708
1.0787,320,322,308,317,20,19,20,21,0.073385,-0.163192,0.211297,-0.166702,0.101447,-0.021387,-0.980541
1.1166,332,334,319,328,20,18,19,20,0.072917,-0.163373,0.211358,-0.161467,0.091332,-0.016182,-0.982509
1.1526,343,346,331,338,20,19,19,18,0.072564,-0.163807,0.211625,-0.151996,0.106615,-0.018442,-0.982441
1.1891,354,357,342,350,19,18,20,19,0.072191,-0.164308,0.210585,-0.173723,0.094874,-0.017214,-0.980063
1.2257,366,368,353,362,20,18,20,21,0.071722,-0.164898,0.210958,-0.166896,0.121925,-0.026725,-0.978042
1.2626,378,380,364,374,20,19,20,20,0.071415,-0.165376,0.210566,-0.175471,0.102682,-0.020457,-0.978901
1.2996,389,390,375,384,19,18,20,20,0.070683,-0.165684,0.211906,-0.131883,0.154961,-0.024807,-0.978764
1.3365,401,401,386,395,19,19,19,19,0.070298,-0.166241,0.210644,-0.176290,0.091023,-0.013274,-0.980031
1.3736,412,413,397,408,19,19,19,20,0.069814,-0.166635,0.210312,-0.197089,0.086931,-0.016617,-0.976382
1.4107,424,425,409,418,19,19,19,20,0.069607,-0.167111,0.210428,-0.183955,0.119574,-0.022806,-0.975368
1.4465,435,436,421,429,20,18,21,19,0.069358,-0.167606,0.210362,-0.192278,0.121718,-0.023165,-0.973487
1.4827,447,449,432,441,20,19,19,19,0.068933,-0.168060,0.210397,-0.181188,0.128358,-0.021408,-0.974801
1.5207,459,460,442,451,19,19,18,18,0.068216,-0.168511,0.210526,-0.210426,0.122307,-0.020518,-0.969712
1.5567,470,472,453,463,19,19,19,20,0.067735,-0.168820,0.209865,-0.196551,0.101684,-0.021397,-0.974972
1.5936,482,483,464,474,20,18,20,20,0.067648,-0.169555,0.209574,-0.185765,0.113588,-0.024178,-0.975707
1.6296,493,494,476,485,19,19,20,20,0.066944,-0.169741,0.210888,-0.166163,0.164526,-0.030549,-0.971796
1.6666,505,506,487,496,21,19,19,19,0.066191,-0.170319,0.211632,-0.148419,0.209750,-0.023266,-0.966145
1.7037,516,517,499,508,19,18,20,19,0.066291,-0.170707,0.209547,-0.214074,0.116596,-0.018258,-0.969662
1.7407,528,529,510,519,19,18,19,20,0.065886,-0.171212,0.209976,-0.221817,0.128046,-0.023511,-0.966358
1.7777,539,540,522,530,18,19,19,20,0.065621,-0.171809,0.209439,-0.208777,0.143667,-0.024562,-0.967041
1.8149,551,552,533,542,19,18,20,20,0.064459,-0.172441,0.211033,-0.147162,0.212204,-0.024235,-0.965777
1.8525,562,564,544,553,20,18,19,19,0.064646,-0.172736,0.210040,-0.165675,0.169550,-0.025297,-0.971167
1.8898,574,576,555,564,19,19,19,19,0.064390,-0.173099,0.209830,-0.168408,0.163683,-0.026534,-0.971670
1.9267,585,588,567,576,20,19,19,20,0.064279,-0.173815,0.208685,-0.217219,0.127716,-0.017505,-0.967573
1.9646,597,599,579,585,19,18,20,18,0.063916,-0.174369,0.208262,-0.225481,0.159194,-0.025337,-0.960819
2.0007,610,610,590,596,20,18,19,18,0.062865,-0.174953,0.210237,-0.152666,0.241109,-0.025558,-0.958074
2.0376,621,622,601,607,19,18,18,20,0.062850,-0.175153,0.209279,-0.178012,0.190437,-0.029816,-0.964965
2.0737,633,633,612,619,20,19,19,20,0.062378,-0.175395,0.209201,-0.193823,0.179079,-0.031044,-0.964054
2.1106,645,645,625,629,21,18,20,19,0.061861,-0.175803,0.209395,-0.184754,0.193557,-0.027958,-0.963130
2.1477,656,656,637,641,19,18,20,20,0.061613,-0.176448,0.209130,-0.202614,0.204516,-0.032782,-0.957103
2.1857,667,668,648,652,18,19,18,20,0.061327,-0.176662,0.208534,-0.175064,0.184747,-0.029494,-0.966618
2.2215,678,679,660,664,18,18,20,19,0.061072,-0.177177,0.208194,-0.202633,0.183410,-0.030170,-0.961452
2.2587,690,691,672,674,19,19,19,19,0.060641,-0.177537,0.208374,-0.197756,0.196803,-0.029445,-0.959841
2.2955,701,702,683,685,19,19,20,20,0.060459,-0.178028,0.207942,-0.210108,0.202132,-0.035006,-0.955914
2.3316,712,713,694,696,19,18,20,20,0.060185,-0.178541,0.207782,-0.207009,0.206350,-0.033159,-0.955755
2.3675,723,725,706,707,19,19,20,20,0.059546,-0.178747,0.208207,-0.204875,0.212984,-0.030392,-0.954851
2.4036,735,737,718,718,18,18,19,18,0.059040,-0.179254,0.208423,-0.201548,0.229156,-0.030687,-0.951801
2.4427,747,748,729,730,20,19,19,19,0.058920,-0.179632,0.207623,-0.200614,0.196319,-0.029119,-0.959357
2.4798,759,760,741,740,20,18,20,20,0.057940,-0.180295,0.208557,-0.164591,0.243437,-0.016685,-0.955704
2.5168,771,771,752,752,20,18,19,20,0.058191,-0.180356,0.207406,-0.204845,0.199351,-0.029775,-0.957816
2.5534,782,783,763,762,19,19,19,19,0.058189,-0.180814,0.207086,-0.216434,0.203793,-0.032358,-0.954242
2.5895,793,794,775,773,19,19,20,19,0.057851,-0.181133,0.206905,-0.217211,0.198480,-0.028691,-0.955302
2.6258,805,805,787,784,20,19,20,20,0.057415,-0.181674,0.206477,-0.228039,0.217539,-0.031915,-0.948502
2.6626,817,817,799,795,20,18,20,20,0.057033,-0.182085,0.206368,-0.216947,0.205019,-0.033066,-0.953839
2.6998,827,829,810,806,18,19,19,19,0.056557,-0.182337,0.206521,-0.218183,0.203851,-0.029833,-0.953914
