timestamp_s,motor_1_pos,motor_2_pos,motor_3_pos,motor_4_pos,motor_1_vel,motor_2_vel,motor_3_vel,motor_4_vel,optitrack_x,optitrack_y,optitrack_z,optitrack_qx,optitrack_qy,optitrack_qz,optitrack_qw
-1.0,0,0,0,0,,,,,0.083702,-0.144075,0.212157,,,,
0.0006,0,4,-1,0,0,0,0,0,0.084561,-0.144890,0.212534,-0.084881,0.082276,-0.024551,-0.992685
0.0467,-3,5,-3,4,-2,0,-3,4,0.084625,-0.144906,0.212637,-0.086815,0.083480,-0.024227,-0.992425
0.0848,-12,11,-11,13,-12,9,-11,12,0.084490,-0.144731,0.212679,-0.084838,0.088663,-0.025409,-0.992117
0.1214,-22,21,-22,22,-16,14,-17,15,0.084054,-0.144290,0.212424,-0.077109,0.071618,-0.024624,-0.994142
0.1576,-33,33,-34,34,-18,19,-19,18,0.083383,-0.143845,0.212599,-0.079808,0.095031,-0.029795,-0.991823
0.1966,-45,45,-45,46,-20,19,-20,21,0.083085,-0.143570,0.212262,-0.081335,0.075265,-0.023996,-0.993551
0.2336,-57,56,-56,58,-20,18,-18,20,0.082747,-0.143090,0.212213,-0.077378,0.076084,-0.022857,-0.993832
0.2717,-69,70,-68,71,-20,18,-20,20,0.082391,-0.142629,0.212442,-0.068891,0.091701,-0.025680,-0.993069
0.3127,-81,82,-80,82,-18,19,-21,19,0.081636,-0.142198,0.212150,-0.061095,0.080377,-0.024440,-0.994590
0.3495,-92,93,-92,94,-20,18,-20,20,0.081364,-0.141805,0.212089,-0.080452,0.082585,-0.024819,-0.993021
0.3865,-104,105,-101,105,-20,19,-19,20,0.080884,-0.141486,0.212190,-0.066892,0.087949,-0.024284,-0.993580
0.4231,-115,117,-113,117,-20,18,-19,20,0.080433,-0.141218,0.212047,-0.085794,0.100629,-0.026335,-0.990868
0.4625,-125,129,-124,128,-18,18,-20,19,0.079849,-0.140618,0.212405,-0.065166,0.117544,-0.027252,-0.990553
0.4986,-136,140,-135,137,-18,20,-19,17,0.079259,-0.140233,0.211670,-0.061217,0.082557,-0.021909,-0.994463
0.5345,-148,152,-145,149,-20,18,-19,20,0.078755,-0.139788,0.211856,-0.059533,0.079113,-0.019738,-0.994891
0.5707,-159,162,-156,162,-20,18,-19,20,0.078168,-0.139348,0.211656,-0.062211,0.081582,-0.019125,-0.994539
0.6074,-170,174,-168,173,-20,19,-19,19,0.077730,-0.139043,0.211250,-0.066734,0.078761,-0.016768,-0.994516
0.6455,-180,186,-179,182,-18,19,-20,17,0.077385,-0.138715,0.211577,-0.064276,0.092989,-0.021559,-0.993356
0.6815,-192,197,-190,193,-19,18,-20,19,0.076688,-0.138083,0.211949,-0.070767,0.106226,-0.029887,-0.991370
0.7187,-205,209,-201,206,-22,19,-20,21,0.076176,-0.137659,0.211728,-0.066677,0.109374,-0.025331,-0.991438
0.7558,-216,221,-211,218,-20,19,-17,20,0.075755,-0.137307,0.211719,-0.057179,0.106150,-0.021042,-0.992482
0.7927,-226,232,-224,229,-18,18,-20,19,0.075390,-0.137065,0.210641,-0.044284,0.060272,-0.013280,-0.997111
0.8296,-237,243,-235,239,-18,19,-21,18,0.075033,-0.136487,0.211301,-0.060515,0.093620,-0.023556,-0.993488
0.8667,-248,255,-247,252,-20,19,-20,21,0.074136,-0.135955,0.211282,-0.064659,0.110601,-0.028831,-0.991340
0.9045,-260,267,-257,263,-20,19,-19,20,0.073866,-0.135544,0.211198,-0.043349,0.123629,-0.024739,-0.991073
0.9406,-272,278,-267,275,-20,18,-19,20,0.073575,-0.135246,0.211032,-0.042271,0.125141,-0.026876,-0.990874
0.9765,-282,289,-280,285,-19,19,-20,18,0.073019,-0.134882,0.210693,-0.043280,0.109199,-0.027238,-0.992704
1.0135,-293,301,-290,295,-17,19,-20,17,0.072596,-0.134425,0.210702,-0.041989,0.118838,-0.025212,-0.991705
1.0506,-304,313,-301,307,-20,18,-20,21,0.071956,-0.133792,0.210615,-0.056331,0.113198,-0.026846,-0.991611
1.0866,-316,325,-312,319,-20,18,-18,21,0.071690,-0.133406,0.210584,-0.045507,0.119618,-0.028056,-0.991380
1.1224,-328,336,-322,330,-20,18,-18,20,0.071184,-0.132981,0.210767,-0.023906,0.132866,-0.032457,-0.990314
1.1585,-338,347,-333,340,-19,18,-20,18,0.070710,-0.132718,0.210419,-0.047479,0.125949,-0.026597,-0.990543
1.1945,-350,358,-346,352,-19,18,-21,20,0.070297,-0.132305,0.210396,-0.037433,0.127655,-0.027790,-0.990722
1.2307,-360,369,-356,364,-20,18,-21,21,0.069792,-0.131755,0.210284,-0.038274,0.124208,-0.029998,-0.991064
1.2664,-372,380,-366,375,-20,19,-18,20,0.069504,-0.131352,0.210063,-0.013775,0.127259,-0.031086,-0.991287
1.3025,-383,391,-377,385,-20,18,-19,20,0.069124,-0.131196,0.209536,-0.037537,0.132722,-0.028978,-0.990018
1.3386,-394,402,-388,396,-19,19,-19,19,0.068709,-0.130810,0.209445,-0.037089,0.120373,-0.023710,-0.991752
1.3746,-406,414,-400,409,-19,19,-20,20,0.068177,-0.130359,0.209257,-0.029169,0.119189,-0.024844,-0.992132
1.4116,-417,425,-411,419,-20,19,-20,20,0.067755,-0.129863,0.209509,-0.022064,0.149259,-0.032971,-0.988002
1.4476,-427,436,-422,430,-20,18,-18,19,0.067307,-0.129492,0.209518,-0.017424,0.146468,-0.031576,-0.988558
1.4846,-440,449,-433,441,-20,19,-19,19,0.066944,-0.129201,0.208957,-0.031353,0.134172,-0.028214,-0.990060
